[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\jess\caidan\www\Lib\Action\IndexAction.class.php:7) View.class.php 第 121 行.
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\jess\caidan\www\Lib\Action\IndexAction.class.php:7) View.class.php 第 122 行.
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_end ] --START--
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Run ShowPageTrace Behavior [ RunTime:0.004041s ]
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_end ] --END-- [ RunTime:0.004153s ]
[ 2013-01-04T16:32:40+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2013-01-04T16:32:40+08:00 ] /caidan/root/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.004048s ]
[ 2013-01-04T16:32:40+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.004273s ]
[ 2013-01-04T16:32:40+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T16:32:40+08:00 ] /caidan/root/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001584s ]
[ 2013-01-04T16:32:40+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001689s ]
[ 2013-01-04T16:32:42+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2013-01-04T16:32:42+08:00 ] /caidan/root/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.001437s ]
[ 2013-01-04T16:32:42+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001587s ]
[ 2013-01-04T16:32:42+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ app_begin ] --START--
