[ 2012-12-16T15:18:03+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.001468s ]
[ 2012-12-16T15:18:03+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.001533s ]
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001173s ]
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001279s ]
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001764s ]
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001843s ]
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.020593s ]
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020673s ]
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000981s ]
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000967s ]
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000923s ]
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001275s ]
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004349s ]
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.002559s ]
[ 2012-12-16T15:23:10+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.002628s ]
[ 2012-12-16T15:23:47+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-16T15:23:47+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000572s ]
[ 2012-12-16T15:23:47+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000682s ]
[ 2012-12-16T15:23:47+08:00 ] / | SQL: DESCRIBE caidan_menu [ RunTime:0.003729s ]
[ 2012-12-16T15:23:47+08:00 ] / | NOTIC: [8] Undefined index:  Name DbPdo.class.php 第 305 行.
[ 2012-12-16T15:23:47+08:00 ] / | NOTIC: [8] Undefined index:  Name DbPdo.class.php 第 305 行.
[ 2012-12-16T15:23:47+08:00 ] / | NOTIC: [8] Undefined index:  Name DbPdo.class.php 第 305 行.
[ 2012-12-16T15:23:47+08:00 ] / | SQL: select id, name, description from caidan_menu [ RunTime:0.001431s ]
[ 2012-12-16T15:23:47+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-16T15:23:47+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000465s ]
[ 2012-12-16T15:23:47+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000526s ]
[ 2012-12-16T15:23:47+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-16T15:23:47+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.013248s ]
[ 2012-12-16T15:23:47+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013325s ]
[ 2012-12-16T15:23:47+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-16T15:23:47+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000314s ]
[ 2012-12-16T15:23:47+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000331s ]
[ 2012-12-16T15:23:47+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000212s ]
[ 2012-12-16T15:23:47+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000400s ]
[ 2012-12-16T15:23:47+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001404s ]
[ 2012-12-16T15:23:47+08:00 ] / | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\AppServ\www\caidan\include\ThinkPHP\Lib\Core\Db.class.php:111) View.class.php 第 120 行.
[ 2012-12-16T15:23:47+08:00 ] / | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\AppServ\www\caidan\include\ThinkPHP\Lib\Core\Db.class.php:111) View.class.php 第 121 行.
[ 2012-12-16T15:23:47+08:00 ] / | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\AppServ\www\caidan\include\ThinkPHP\Lib\Core\Db.class.php:111) View.class.php 第 122 行.
